step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
470,9.4,0,0,6371563.507479188,0,0,-92.47933176679845,563.5074791880324,-92.47933176679844,0,0,-9.818230826174979,9.818230826174979,0,0,-9.818230826174979,9.818230826174979,1,0,0,0,0,80,80,0,0,1089580.111124212
475,9.5,0,0,6371554.200636547,0,0,-93.4611565643267,554.2006365470588,-93.4611565643267,0,0,-9.818259448382527,9.818259448382527,0,0,-9.818259448382527,9.818259448382527,1,0,0,0,0,80,80,0,0,1101151.060193351
480,9.6,0,0,6371544.795611253,0,0,-94.44298424223861,544.7956112530082,-94.44298424223861,0,0,-9.818288373305817,9.818288373305817,0,0,-9.818288373305817,9.818288373305817,1,0,0,0,0,80,80,0,0,1112722.144951051
485,9.700000000000001,0,0,6371535.292403016,0,0,-95.42481483080606,535.2924030162394,-95.42481483080606,0,0,-9.818317600949751,9.818317600949751,0,0,-9.818317600949751,9.818317600949751,1,0,0,0,0,80,80,0,0,1124293.366824809
490,9.800000000000001,0,0,6371525.691011545,0,0,-96.40664836030139,525.6910115452483,-96.40664836030138,0,0,-9.818347131319287,9.818347131319287,0,0,-9.818347131319287,9.818347131319287,1,0,0,0,0,80,80,0,0,1135864.727242167
495,9.9,0,0,6371515.991436543,0,0,-97.38848486099747,515.9914365429431,-97.38848486099747,0,0,-9.818376964419427,9.818376964419427,0,0,-9.818376964419427,9.818376964419427,1,0,0,0,0,80,80,0,0,1147436.227630713
500,10,0,0,6371506.193677711,0,0,-98.37032436316763,506.1936777113006,-98.37032436316763,0,0,-9.818407100255229,9.818407100255229,0,0,-9.818407100255229,9.818407100255229,1,0,0,0,0,80,80,0,0,1159007.869418082
505,10.1,0,0,6371496.297734748,0,0,-99.35216689708579,496.2977347476408,-99.35216689708579,0,0,-9.818437538831803,9.818437538831803,0,0,-9.818437538831803,9.818437538831803,1,0,0,0,0,80,80,0,0,1170579.654031956
510,10.2,0,0,6371486.303607346,0,0,-100.3340124930263,486.30360734649,-100.3340124930263,0,0,-9.818468280154312,9.818468280154312,0,0,-9.818468280154312,9.818468280154312,1,0,0,0,0,80,80,0,0,1182151.582900063
515,10.3,0,0,6371476.211295201,0,0,-101.3158611812642,476.2112952005118,-101.3158611812642,0,0,-9.818499324227968,9.818499324227968,0,0,-9.818499324227968,9.818499324227968,1,0,0,0,0,80,80,0,0,1193723.65745018
520,10.4,0,0,6371466.020797999,0,0,-102.2977129920747,466.0207979986444,-102.2977129920747,0,0,-9.818530671058031,9.818530671058031,0,0,-9.818530671058031,9.818530671058031,1,0,0,0,0,80,80,0,0,1205295.879110132
525,10.5,0,0,6371455.732115427,0,0,-103.2795679557339,455.7321154270321,-103.2795679557339,0,0,-9.818562320649814,9.818562320649814,0,0,-9.818562320649814,9.818562320649814,1,0,0,0,0,80,80,0,0,1216868.249307793
530,10.6,0,0,6371445.345247167,0,0,-104.2614261025183,445.3452471671626,-104.2614261025182,0,0,-9.818594273008692,9.818594273008692,0,0,-9.818594273008692,9.818594273008692,1,0,0,0,0,80,80,0,0,1228440.769471086
535,10.7,0,0,6371434.860192901,0,0,-105.2432874627048,434.8601929005235,-105.2432874627048,0,0,-9.818626528140072,9.818626528140072,0,0,-9.818626528140072,9.818626528140072,1,0,0,0,0,80,80,0,0,1240013.441027981
540,10.8,0,0,6371424.276952303,0,0,-106.2251520665711,424.2769523030147,-106.2251520665711,0,0,-9.818659086049431,9.818659086049431,0,0,-9.818659086049431,9.818659086049431,1,0,0,0,0,80,80,0,0,1251586.265406505
545,10.9,0,0,6371413.595525051,0,0,-107.2070199443953,413.5955250505358,-107.2070199443953,0,0,-9.818691946742279,9.818691946742279,0,0,-9.818691946742279,9.818691946742279,1,0,0,0,0,80,80,0,0,1263159.244034728
550,11,0,0,6371402.815910812,0,0,-108.1888911264561,402.815910811536,-108.1888911264561,0,0,-9.818725110224195,9.818725110224195,0,0,-9.818725110224195,9.818725110224195,1,0,0,0,0,80,80,0,0,1274732.378340776
555,11.1,0,0,6371391.938109254,0,0,-109.1707656430328,391.9381092544645,-109.1707656430328,0,0,-9.8187585765008,9.8187585765008,0,0,-9.8187585765008,9.8187585765008,1,0,0,0,0,80,80,0,0,1286305.669752824
560,11.2,0,0,6371380.962120044,0,0,-110.152643524405,380.9621200440452,-110.152643524405,0,0,-9.818792345577769,9.818792345577769,0,0,-9.818792345577769,9.818792345577769,1,0,0,0,0,80,80,0,0,1297879.119699102
565,11.3,0,0,6371369.887942841,0,0,-111.1345248008533,369.8879428412765,-111.1345248008533,0,0,-9.818826417460834,9.818826417460834,0,0,-9.818826417460834,9.818826417460834,1,0,0,0,0,80,80,0,0,1309452.72960789
570,11.4,0,0,6371358.715577306,0,0,-112.1164095026586,358.7155773062259,-112.1164095026586,0,0,-9.818860792155757,9.818860792155757,0,0,-9.818860792155757,9.818860792155757,1,0,0,0,0,80,80,0,0,1321026.50090752
